,Date,1. open,2. high,3. low,4. close,5. volume
479,2017-08-11,156.6,158.5728,156.07,157.48,25943187
480,2017-08-10,159.9,160.0,154.63,155.32,39081017
481,2017-08-09,159.26,161.27,159.11,161.06,25640394
482,2017-08-08,158.6,161.83,158.27,160.08,35775675
483,2017-08-07,157.06,158.92,156.6701,158.81,21870321
484,2017-08-04,156.07,157.4,155.69,156.39,20349532
485,2017-08-03,157.05,157.21,155.02,155.57,26000738
486,2017-08-02,159.28,159.75,156.16,157.14,69222793
487,2017-08-01,149.1,150.22,148.41,150.05,24725526
488,2017-07-31,149.9,150.33,148.13,148.73,19422655
489,2017-07-28,149.89,150.23,149.19,149.5,16832947
490,2017-07-27,153.75,153.99,147.3,150.56,32175875
491,2017-07-26,153.35,153.93,153.06,153.46,15172136
492,2017-07-25,151.8,153.84,151.8,152.74,18612649
493,2017-07-24,150.58,152.44,149.9,152.09,21122730
494,2017-07-21,149.99,150.44,148.88,150.27,24671002
495,2017-07-20,151.5,151.74,150.19,150.34,17053326
496,2017-07-19,150.48,151.42,149.95,151.02,20615419
497,2017-07-18,149.2,150.13,148.67,150.08,17713795
498,2017-07-17,148.82,150.9,148.57,149.56,23243713
499,2017-07-14,147.97,149.33,147.33,149.04,19961788
500,2017-07-13,145.5,148.49,145.44,147.77,24922788
501,2017-07-12,145.87,146.18,144.82,145.74,23617964
502,2017-07-11,144.73,145.85,144.38,145.53,18311156
503,2017-07-10,144.11,145.95,143.37,145.06,21030466
504,2017-07-07,142.9,144.75,142.9,144.18,18505351
505,2017-07-06,143.02,143.5,142.41,142.73,23374374
506,2017-07-05,143.69,144.79,142.7237,144.09,20758795
507,2017-07-03,144.88,145.3,143.1,143.5,14258300
508,2017-06-30,144.45,144.96,143.78,144.02,22328979
509,2017-06-29,144.71,145.13,142.28,143.68,31116980
510,2017-06-28,144.49,146.11,143.1601,145.83,21915939
511,2017-06-27,145.01,146.16,143.62,143.73,24423643
512,2017-06-26,147.17,148.28,145.38,145.82,25524661
513,2017-06-23,145.13,147.16,145.11,146.28,25997976
514,2017-06-22,145.77,146.7,145.1199,145.63,18673365
515,2017-06-21,145.52,146.0693,144.61,145.87,21064679
516,2017-06-20,146.87,146.87,144.94,145.01,24572170
517,2017-06-19,143.66,146.74,143.66,146.34,31449132
518,2017-06-16,143.78,144.5,142.2,142.27,49180748
519,2017-06-15,143.32,144.4798,142.21,144.29,31348832
520,2017-06-14,147.5,147.5,143.84,145.16,31224203
521,2017-06-13,147.16,147.45,145.15,146.59,33749154
522,2017-06-12,145.74,146.09,142.51,145.42,71563614
523,2017-06-09,155.19,155.19,146.02,148.98,64882700
524,2017-06-08,155.25,155.54,154.4,154.99,20771367
525,2017-06-07,155.02,155.98,154.48,155.37,20678772
526,2017-06-06,153.9,155.81,153.78,154.45,26249630
527,2017-06-05,154.34,154.45,153.46,153.93,24803858
528,2017-06-02,153.58,155.45,152.89,155.45,27285861
529,2017-06-01,153.17,153.33,152.22,153.18,16180143
530,2017-05-31,153.97,154.17,152.38,152.76,23162873
531,2017-05-30,153.42,154.43,153.33,153.67,20034934
532,2017-05-26,154.0,154.24,153.31,153.61,21632202
533,2017-05-25,153.73,154.35,153.03,153.87,19044463
534,2017-05-24,153.84,154.17,152.67,153.34,19118319
535,2017-05-23,154.9,154.9,153.31,153.8,19430358
536,2017-05-22,154.0,154.58,152.91,153.99,22340069
537,2017-05-19,153.38,153.98,152.63,153.06,26733798
538,2017-05-18,151.27,153.34,151.13,152.54,33159664
539,2017-05-17,153.6,154.57,149.71,150.25,49482818
540,2017-05-16,155.94,156.06,154.72,155.47,19904679
541,2017-05-15,156.01,156.65,155.05,155.7,25700983
542,2017-05-12,154.7,156.42,154.67,156.1,32221756
543,2017-05-11,152.45,154.07,152.31,153.95,25596687
544,2017-05-10,153.63,153.94,152.11,153.26,25670456
545,2017-05-09,153.87,154.88,153.45,153.99,35942435
546,2017-05-08,149.03,153.7,149.03,153.01,48339210
547,2017-05-05,146.76,148.98,146.76,148.96,26787359
548,2017-05-04,146.52,147.14,145.81,146.53,23275690
549,2017-05-03,145.59,147.49,144.27,147.06,45142806
550,2017-05-02,147.54,148.09,146.84,147.51,39752670
551,2017-05-01,145.1,147.2,144.96,146.58,32818760
552,2017-04-28,144.09,144.3,143.27,143.65,20247187
553,2017-04-27,143.9225,144.16,143.31,143.79,13948980
554,2017-04-26,144.47,144.6,143.3762,143.68,19614287
555,2017-04-25,143.91,144.9,143.87,144.53,18216472
556,2017-04-24,143.5,143.95,143.18,143.64,17116599
557,2017-04-21,142.44,142.68,141.85,142.27,17320928
558,2017-04-20,141.22,142.92,141.16,142.44,23319562
559,2017-04-19,141.88,142.0,140.45,140.68,17328375
560,2017-04-18,141.41,142.04,141.11,141.2,14697544
561,2017-04-17,141.48,141.88,140.87,141.83,16582094
562,2017-04-13,141.91,142.38,141.05,141.05,17822880
563,2017-04-12,141.6,142.15,141.01,141.8,20350000
564,2017-04-11,142.94,143.35,140.06,141.63,30379376
565,2017-04-10,143.6,143.8792,142.9,143.17,18933397
566,2017-04-07,143.73,144.18,143.27,143.34,16658543
567,2017-04-06,144.29,144.52,143.45,143.66,21149034
568,2017-04-05,144.22,145.46,143.81,144.02,27717854
569,2017-04-04,143.25,144.89,143.17,144.77,19891354
570,2017-04-03,143.71,144.12,143.05,143.7,19985714
571,2017-03-31,143.72,144.27,143.01,143.66,19661651
572,2017-03-30,144.19,144.5,143.5,143.93,21207252
573,2017-03-29,143.68,144.49,143.19,144.12,29189955
574,2017-03-28,140.91,144.04,140.62,143.8,33374805
575,2017-03-27,139.39,141.22,138.62,140.88,23575094
576,2017-03-24,141.5,141.74,140.35,140.64,22395563
577,2017-03-23,141.26,141.5844,140.61,140.92,20346301
578,2017-03-22,139.845,141.6,139.76,141.42,25860165
579,2017-03-21,142.11,142.8,139.73,139.84,39529912
580,2017-03-20,140.4,141.5,140.23,141.46,21542038
581,2017-03-17,141.0,141.0,139.89,139.99,43884952
582,2017-03-16,140.72,141.02,140.26,140.69,19231998
583,2017-03-15,139.41,140.7501,139.025,140.46,25691774
584,2017-03-14,139.3,139.65,138.84,138.99,15309065
585,2017-03-13,138.85,139.43,138.82,139.2,17421717
586,2017-03-10,139.25,139.3571,138.64,139.14,19612801
587,2017-03-09,138.74,138.79,137.05,138.68,22155904
588,2017-03-08,138.95,139.8,138.82,139.0,18707236
589,2017-03-07,139.06,139.98,138.79,139.52,17446297
590,2017-03-06,139.365,139.77,138.5959,139.34,21750044
591,2017-03-03,138.78,139.83,138.59,139.78,21571121
592,2017-03-02,140.0,140.2786,138.76,138.96,26210984
593,2017-03-01,137.89,140.15,137.595,139.79,36414585
594,2017-02-28,137.08,137.435,136.7,136.99,23482860
595,2017-02-27,137.14,137.435,136.28,136.93,20257426
596,2017-02-24,135.91,136.66,135.28,136.66,21776585
597,2017-02-23,137.38,137.48,136.3,136.53,20788186
598,2017-02-22,136.43,137.12,136.11,137.11,20836932
599,2017-02-21,136.23,136.75,135.98,136.7,24507156
600,2017-02-17,135.1,135.83,135.1,135.72,22198197
601,2017-02-16,135.67,135.9,134.8398,135.345,22584555
602,2017-02-15,135.52,136.27,134.62,135.51,35623100
603,2017-02-14,133.47,135.09,133.25,135.02,33226223
604,2017-02-13,133.08,133.82,132.75,133.29,23035421
605,2017-02-10,132.46,132.94,132.05,132.12,20065458
606,2017-02-09,131.65,132.445,131.12,132.42,28349859
607,2017-02-08,131.35,132.22,131.22,132.04,23004072
608,2017-02-07,130.54,132.09,130.45,131.53,38183841
609,2017-02-06,129.13,130.5,128.9,130.29,26845924
610,2017-02-03,128.31,129.19,128.16,129.08,24507301
611,2017-02-02,127.975,129.39,127.78,128.53,33710411
612,2017-02-01,127.03,130.49,127.01,128.75,111985040
613,2017-01-31,121.15,121.39,120.62,121.35,49200993
614,2017-01-30,120.93,121.63,120.66,121.63,30377503
615,2017-01-27,122.14,122.35,121.6,121.95,20562944
616,2017-01-26,121.67,122.44,121.6,121.94,26337576
617,2017-01-25,120.42,122.1,120.28,121.88,32586673
618,2017-01-24,119.55,120.1,119.5,119.97,23211038
619,2017-01-23,120.0,120.81,119.77,120.08,22050218
620,2017-01-20,120.45,120.45,119.7346,120.0,32597892
621,2017-01-19,119.4,120.09,119.37,119.78,25597291
622,2017-01-18,120.0,120.5,119.71,119.99,23712961
623,2017-01-17,118.34,120.24,118.22,120.0,34439843
624,2017-01-13,119.11,119.62,118.81,119.04,26111948
625,2017-01-12,118.895,119.3,118.21,119.25,27086220
626,2017-01-11,118.74,119.93,118.6,119.75,27588593
627,2017-01-10,118.77,119.38,118.3,119.11,24462051
628,2017-01-09,117.95,119.43,117.94,118.99,33561948
629,2017-01-06,116.78,118.16,116.47,117.91,31751900
630,2017-01-05,115.92,116.8642,115.81,116.61,22193587
631,2017-01-04,115.85,116.51,115.75,116.02,21118116
632,2017-01-03,115.8,116.33,114.76,116.15,28781865
633,2016-12-30,116.65,117.2,115.43,115.82,30586265
634,2016-12-29,116.45,117.1095,116.4,116.73,15039519
635,2016-12-28,117.52,118.0166,116.2,116.76,20905892
636,2016-12-27,116.52,117.8,116.49,117.26,18296855
637,2016-12-23,115.59,116.52,115.59,116.52,14249484
638,2016-12-22,116.35,116.51,115.64,116.29,26085854
639,2016-12-21,116.8,117.4,116.78,117.06,23783165
640,2016-12-20,116.74,117.5,116.68,116.95,21424965
641,2016-12-19,115.8,117.38,115.75,116.64,27779423
642,2016-12-16,116.47,116.5,115.645,115.97,44351134
643,2016-12-15,115.38,116.73,115.23,115.82,46524544
644,2016-12-14,115.04,116.2,114.98,115.19,34031834
645,2016-12-13,113.84,115.92,113.75,115.19,43733811
646,2016-12-12,113.29,115.0,112.49,113.3,26374377
647,2016-12-09,112.31,114.7,112.31,113.95,34402627
648,2016-12-08,110.86,112.43,110.6,112.12,27068316
649,2016-12-07,109.26,111.19,109.16,111.03,29998719
650,2016-12-06,109.5,110.36,109.19,109.95,26195462
651,2016-12-05,110.0,110.03,108.25,109.11,34324540
652,2016-12-02,109.17,110.09,108.85,109.9,26527997
653,2016-12-01,110.365,110.94,109.03,109.49,37086862
654,2016-11-30,111.6,112.2,110.27,110.52,36162258
655,2016-11-29,110.78,112.03,110.07,111.46,28528750
656,2016-11-28,111.43,112.465,111.39,111.57,27193983
657,2016-11-25,111.13,111.87,110.95,111.79,11475922
658,2016-11-23,111.36,111.51,110.33,111.23,27426394
659,2016-11-22,111.95,112.42,111.4,111.8,25965534
660,2016-11-21,110.12,111.99,110.01,111.73,29264571
661,2016-11-18,109.72,110.54,109.66,110.06,28428917
662,2016-11-17,109.81,110.35,108.83,109.95,27632003
663,2016-11-16,106.7,110.23,106.6,109.99,58840522
664,2016-11-15,106.57,107.68,106.1593,107.11,32264510
665,2016-11-14,107.71,107.809,104.08,105.71,51175504
666,2016-11-11,107.12,108.87,106.55,108.43,34143898
667,2016-11-10,111.09,111.09,105.83,107.79,57134541
668,2016-11-09,109.88,111.32,108.05,110.88,59176361
669,2016-11-08,110.31,111.72,109.7,111.06,24254179
670,2016-11-07,110.08,110.51,109.46,110.41,32560000
671,2016-11-04,108.53,110.25,108.11,108.84,30836997
672,2016-11-03,110.98,111.46,109.55,109.83,26932602
673,2016-11-02,111.4,112.35,111.23,111.59,28331709
674,2016-11-01,113.46,113.77,110.53,111.49,43825812
675,2016-10-31,113.65,114.23,113.2,113.54,26419398
676,2016-10-28,113.87,115.21,113.45,113.72,37861662
677,2016-10-27,115.39,115.86,114.1,114.48,34562045
678,2016-10-26,114.31,115.7,113.31,115.59,66134219
679,2016-10-25,117.95,118.36,117.31,118.25,48128970
680,2016-10-24,117.1,117.74,117.0,117.65,23538673
681,2016-10-21,116.81,116.91,116.28,116.6,23192665
682,2016-10-20,116.86,117.38,116.33,117.06,24125801
683,2016-10-19,117.25,117.76,113.8,117.12,20034594
684,2016-10-18,118.18,118.21,117.45,117.47,24553478
685,2016-10-17,117.33,117.84,116.78,117.55,23624896
686,2016-10-14,117.88,118.17,117.13,117.63,35652191
687,2016-10-13,116.79,117.44,115.72,116.98,35192406
688,2016-10-12,117.35,117.98,116.75,117.34,37586787
689,2016-10-11,117.7,118.69,116.2,116.3,64041043
690,2016-10-10,115.02,116.75,114.72,116.05,36235956
691,2016-10-07,114.31,114.56,113.51,114.06,24358443
692,2016-10-06,113.7,114.34,113.13,113.89,28779313
693,2016-10-05,113.4,113.66,112.69,113.05,21453089
694,2016-10-04,113.06,114.31,112.63,113.0,29736835
695,2016-10-03,112.71,113.05,112.28,112.52,21701760
696,2016-09-30,112.46,113.37,111.8,113.05,36379106
697,2016-09-29,113.16,113.8,111.8,112.18,35886990
698,2016-09-28,113.69,114.64,113.43,113.95,29641085
699,2016-09-27,113.0,113.18,112.34,113.09,24607412
700,2016-09-26,111.64,113.39,111.55,112.88,29869442
701,2016-09-23,114.42,114.79,111.55,112.71,52481151
702,2016-09-22,114.35,114.94,114.0,114.62,31073984
703,2016-09-21,113.85,113.989,112.441,113.55,36003185
704,2016-09-20,113.05,114.12,112.51,113.57,34514269
705,2016-09-19,115.19,116.18,113.25,113.58,47023046
706,2016-09-16,115.12,116.13,114.04,114.92,79886911
707,2016-09-15,113.86,115.73,113.49,115.57,90613177
708,2016-09-14,108.73,113.03,108.6,111.77,112340318
709,2016-09-13,107.51,108.79,107.24,107.95,62176190
710,2016-09-12,102.65,105.72,102.53,105.44,45292770
711,2016-09-09,104.64,105.72,103.13,103.13,46556984
712,2016-09-08,107.25,107.27,105.24,105.52,53002026
713,2016-09-07,107.83,108.76,107.07,108.36,42364328
714,2016-09-06,107.9,108.3,107.51,107.7,26880391
715,2016-09-02,107.7,108.0,106.82,107.73,26802450
716,2016-09-01,106.14,106.8,105.62,106.73,26701523
717,2016-08-31,105.66,106.5699,105.64,106.1,29662406
718,2016-08-30,105.8,106.5,105.5,106.0,24863945
719,2016-08-29,106.62,107.44,106.29,106.82,24970300
720,2016-08-26,107.41,107.95,106.31,106.94,27766291
721,2016-08-25,107.39,107.88,106.68,107.57,25086248
722,2016-08-24,108.565,108.75,107.68,108.03,23675081
723,2016-08-23,108.59,109.32,108.53,108.85,21257669
724,2016-08-22,108.86,109.1,107.85,108.51,25820230
725,2016-08-19,108.77,109.69,108.36,109.36,25368072
726,2016-08-18,109.23,109.6,109.02,109.08,21984703
727,2016-08-17,109.1,109.37,108.34,109.22,25355976
728,2016-08-16,109.63,110.23,109.21,109.38,33794448
729,2016-08-15,108.14,109.54,108.08,109.48,25868209
730,2016-08-12,107.78,108.44,107.78,108.18,18660434
731,2016-08-11,108.52,108.93,107.85,107.93,27484506
732,2016-08-10,108.71,108.9,107.76,108.0,24008505
733,2016-08-09,108.23,108.94,108.01,108.81,26315204
734,2016-08-08,107.52,108.37,107.16,108.37,28037220
735,2016-08-05,106.27,107.65,106.18,107.48,40553402
736,2016-08-04,105.58,106.0,105.28,105.87,27408650
737,2016-08-03,104.81,105.84,104.77,105.79,30202641
738,2016-08-02,106.05,106.07,104.0,104.48,33816556
739,2016-08-01,104.41,106.15,104.41,106.05,38167871
740,2016-07-29,104.19,104.55,103.68,104.21,27733688
741,2016-07-28,102.83,104.45,102.82,104.34,39869839
742,2016-07-27,104.265,104.35,102.75,102.95,92344820
743,2016-07-26,96.82,97.97,96.42,96.67,56239822
744,2016-07-25,98.25,98.84,96.92,97.34,40382921
745,2016-07-22,99.26,99.3,98.31,98.66,28313669
746,2016-07-21,99.83,101.0,99.13,99.43,32702028
747,2016-07-20,100.0,100.46,99.735,99.96,26275968
748,2016-07-19,99.56,100.0,99.34,99.87,23779924
749,2016-07-18,98.7,100.13,98.6,99.83,36493867
750,2016-07-15,98.92,99.3,98.5,98.78,30136990
751,2016-07-14,97.39,98.99,97.32,98.79,38918997
752,2016-07-13,97.41,97.67,96.84,96.87,25892171
753,2016-07-12,97.17,97.7,97.12,97.42,24167463
754,2016-07-11,96.75,97.65,96.73,96.98,23794945
755,2016-07-08,96.49,96.89,96.05,96.68,28912103
756,2016-07-07,95.7,96.5,95.62,95.94,25139558
757,2016-07-06,94.6,95.66,94.37,95.53,30949090
758,2016-07-05,95.39,95.4,94.46,94.99,27705210
759,2016-07-01,95.49,96.465,95.33,95.89,26026540
760,2016-06-30,94.44,95.77,94.3,95.6,35836356
761,2016-06-29,93.97,94.55,93.63,94.4,36531006
762,2016-06-28,92.9,93.66,92.14,93.59,40444914
763,2016-06-27,93.0,93.05,91.5,92.04,46622188
764,2016-06-24,92.91,94.655,92.65,93.4,75311356
765,2016-06-23,95.94,96.29,95.25,96.1,32240187
766,2016-06-22,96.25,96.89,95.35,95.55,29219122
767,2016-06-21,94.94,96.35,94.676,95.91,35546358
768,2016-06-20,96.0,96.57,95.03,95.1,34411901
769,2016-06-17,96.62,96.65,95.3,95.33,61008219
770,2016-06-16,96.45,97.75,96.07,97.55,31326815
771,2016-06-15,97.82,98.41,97.03,97.14,29445227
772,2016-06-14,97.32,98.475,96.75,97.46,31931944
773,2016-06-13,98.69,99.12,97.1,97.34,38020494
774,2016-06-10,98.53,99.3457,98.48,98.83,31712936
775,2016-06-09,98.5,99.99,98.46,99.65,26601354
776,2016-06-08,99.02,99.56,98.68,98.94,20848131
777,2016-06-07,99.25,99.87,98.96,99.03,22409450
778,2016-06-06,97.99,101.89,97.55,98.63,23292504
779,2016-06-03,97.79,98.27,97.45,97.92,28504888
780,2016-06-02,97.6,97.84,96.63,97.72,40191600
781,2016-06-01,99.02,99.54,98.33,98.46,29173285
782,2016-05-31,99.6,100.4,98.82,99.86,42307212
783,2016-05-27,99.44,100.47,99.245,100.35,36341240
784,2016-05-26,99.68,100.73,98.64,100.41,56331159
785,2016-05-25,98.67,99.74,98.11,99.62,38642108
786,2016-05-24,97.22,98.09,96.84,97.9,35140174
787,2016-05-23,95.87,97.19,95.67,96.43,38018643
788,2016-05-20,94.64,95.43,94.52,95.22,32025968
789,2016-05-19,94.64,94.64,93.57,94.2,30442100
790,2016-05-18,94.16,95.21,93.89,94.56,42062391
791,2016-05-17,94.55,94.7,93.01,93.49,46916939
792,2016-05-16,92.39,94.39,91.65,93.88,61259756
793,2016-05-13,90.0,91.67,90.0,90.52,44392765
794,2016-05-12,92.72,92.78,89.47,90.34,76314690
795,2016-05-11,93.48,93.57,92.46,92.51,28719109
796,2016-05-10,93.33,93.57,92.11,93.42,33686836
797,2016-05-09,93.0,93.77,92.59,92.79,32936436
798,2016-05-06,93.37,93.45,91.85,92.72,43699886
799,2016-05-05,94.0,94.07,92.68,93.24,35890500
800,2016-05-04,95.2,95.9,93.82,94.19,41025475
801,2016-05-03,94.2,95.74,93.68,95.18,56831277
802,2016-05-02,93.965,94.08,92.4,93.64,48160104
803,2016-04-29,93.99,94.72,92.51,93.74,68531478
804,2016-04-28,97.61,97.88,94.25,94.83,82242690
805,2016-04-27,96.0,98.71,95.68,97.82,114602142
806,2016-04-26,103.91,105.3,103.91,104.35,56016165
807,2016-04-25,105.0,105.65,104.51,105.08,28031588
808,2016-04-22,105.01,106.48,104.62,105.68,33683121
809,2016-04-21,106.93,106.93,105.52,105.97,31552525
810,2016-04-20,106.64,108.09,106.06,107.13,30611030
811,2016-04-19,107.88,108.0,106.23,106.91,32384879
812,2016-04-18,108.89,108.95,106.94,107.48,60821461
813,2016-04-15,112.11,112.3,109.73,109.85,46938969
814,2016-04-14,111.62,112.39,111.33,112.1,25473923
815,2016-04-13,110.8,112.34,110.8,112.04,33257316
816,2016-04-12,109.34,110.5,108.66,110.44,27232325
817,2016-04-11,108.97,110.61,108.83,109.02,29407518
818,2016-04-08,108.91,109.77,108.17,108.66,23581740
819,2016-04-07,109.95,110.42,108.121,108.54,31801870
820,2016-04-06,110.23,110.98,109.2,110.96,26404077
821,2016-04-05,109.51,110.73,109.42,109.81,26578652
822,2016-04-04,110.42,112.19,110.27,111.12,37356204
823,2016-04-01,108.78,110.0,108.2,109.99,25873950
824,2016-03-31,109.72,109.9,108.88,108.99,25888449
825,2016-03-30,108.65,110.42,108.6,109.56,45601149
826,2016-03-29,104.89,107.79,104.88,107.68,31190083
827,2016-03-28,106.0,106.19,105.06,105.19,19411372
828,2016-03-24,105.47,106.25,104.89,105.67,26132955
829,2016-03-23,106.48,107.07,105.9,106.13,25703495
830,2016-03-22,105.25,107.29,105.21,106.72,32444375
831,2016-03-21,105.93,107.65,105.1401,105.91,35502678
832,2016-03-18,106.34,106.5,105.19,105.92,44205171
833,2016-03-17,105.52,106.47,104.96,105.8,34420705
834,2016-03-16,104.61,106.31,104.59,105.97,38303493
835,2016-03-15,103.96,105.18,103.85,104.58,40067734
836,2016-03-14,101.91,102.91,101.78,102.52,25076062
837,2016-03-11,102.24,102.28,101.5,102.26,27408237
838,2016-03-10,101.41,102.24,100.15,101.17,33513577
839,2016-03-09,101.31,101.58,100.27,101.12,27201683
840,2016-03-08,100.78,101.76,100.4,101.03,31182194
841,2016-03-07,102.39,102.83,100.96,101.87,35915810
842,2016-03-04,102.37,103.75,101.37,103.01,46055100
843,2016-03-03,100.58,101.7099,100.45,101.5,36955742
844,2016-03-02,100.51,100.89,99.64,100.75,33169560
845,2016-03-01,97.65,100.77,97.42,100.53,50407147
846,2016-02-29,96.86,98.23,96.65,96.69,35216277
847,2016-02-26,97.2,98.0237,96.58,96.91,28991131
848,2016-02-25,96.05,96.76,95.25,96.76,27582659
849,2016-02-24,93.98,96.38,93.32,96.1,36255745
850,2016-02-23,96.4,96.5,94.55,94.69,31942633
851,2016-02-22,96.31,96.9,95.92,96.88,34280758
852,2016-02-19,96.0,96.7599,95.8,96.04,35374173
853,2016-02-18,98.84,98.89,96.091,96.26,39020983
854,2016-02-17,96.67,98.21,96.15,98.12,44863243
855,2016-02-16,95.02,96.85,94.61,96.64,49057916
856,2016-02-12,94.19,94.5,93.01,93.99,40351381
857,2016-02-11,93.79,94.72,92.59,93.7,50074711
858,2016-02-10,95.92,96.35,94.1,94.27,42343601
859,2016-02-09,94.29,95.94,93.93,94.99,44331195
860,2016-02-08,93.13,95.7,93.04,95.01,54021375
861,2016-02-05,96.52,96.92,93.69,94.02,46418064
862,2016-02-04,95.86,97.33,95.19,96.6,46471652
863,2016-02-03,95.0,96.84,94.08,96.35,45964294
864,2016-02-02,95.42,96.04,94.28,94.48,37357215
865,2016-02-01,96.47,96.71,95.4,96.43,40943541
866,2016-01-29,94.79,97.34,94.35,97.34,64416504
867,2016-01-28,93.79,94.52,92.39,94.09,55678825
868,2016-01-27,96.04,96.6289,93.34,93.42,133369674
869,2016-01-26,99.93,100.88,98.07,99.99,75077002
870,2016-01-25,101.52,101.53,99.21,99.44,51794525
871,2016-01-22,98.63,101.46,98.37,101.42,65800467
872,2016-01-21,97.06,97.88,94.94,96.3,52161463
873,2016-01-20,95.1,98.1897,93.42,96.79,72334416
874,2016-01-19,98.41,98.65,95.5,96.66,53087747
875,2016-01-15,96.2,97.71,95.36,97.13,79833891
876,2016-01-14,97.96,100.48,95.74,99.52,63170127
877,2016-01-13,100.32,101.19,97.3,97.39,62439631
878,2016-01-12,100.55,100.69,98.8399,99.96,49154227
879,2016-01-11,98.97,99.06,97.34,98.53,49739377
880,2016-01-08,98.55,99.11,96.76,96.96,70798016
881,2016-01-07,98.68,100.13,96.43,96.45,81094428
882,2016-01-06,100.56,102.37,99.87,100.7,68457388
883,2016-01-05,105.75,105.85,102.41,102.71,55790992
884,2016-01-04,102.61,105.368,102.0,105.35,67649387
885,2015-12-31,107.01,107.03,104.82,105.26,40912316
886,2015-12-30,108.58,108.7,107.18,107.32,25213777
887,2015-12-29,106.96,109.43,106.86,108.74,30931243
888,2015-12-28,107.59,107.69,106.1807,106.82,26704210
889,2015-12-24,109.0,109.0,107.95,108.03,13596680
890,2015-12-23,107.27,108.85,107.2,108.61,32657354
891,2015-12-22,107.4,107.72,106.451,107.23,32789367
892,2015-12-21,107.28,107.37,105.57,107.33,47590610
893,2015-12-18,108.91,109.52,105.81,106.03,96453327
894,2015-12-17,112.02,112.25,108.98,108.98,44772827
895,2015-12-16,111.07,111.99,108.8,111.34,56238467
896,2015-12-15,111.94,112.8,110.35,110.49,53323105
897,2015-12-14,112.18,112.68,109.79,112.48,65003609
898,2015-12-11,115.19,115.39,112.851,113.18,46886161
899,2015-12-10,116.04,116.94,115.51,116.17,29212727
900,2015-12-09,117.64,117.69,115.08,115.62,46361357
901,2015-12-08,117.52,118.6,116.86,118.23,34309450
902,2015-12-07,118.98,119.86,117.81,118.28,32084249
903,2015-12-04,115.29,119.25,115.11,119.03,57776977
904,2015-12-03,116.55,116.79,114.22,115.2,41569509
905,2015-12-02,117.05,118.11,116.08,116.28,33386563
906,2015-12-01,118.75,118.81,116.86,117.34,34852374
907,2015-11-30,117.99,119.41,117.75,118.3,39180322
908,2015-11-27,118.29,118.41,117.6,117.81,13046445
909,2015-11-25,119.21,119.23,117.92,118.03,21388308
910,2015-11-24,117.33,119.35,117.12,118.88,42803172
911,2015-11-23,119.27,119.73,117.34,117.75,32482528
912,2015-11-20,119.2,119.92,118.85,119.3,34287096
913,2015-11-19,117.64,119.75,116.76,118.78,43295820
914,2015-11-18,115.76,117.49,115.5,117.29,46674697
915,2015-11-17,114.92,115.05,113.32,113.69,27583101
916,2015-11-16,111.38,114.24,111.0,114.175,38106701
917,2015-11-13,115.2,115.57,112.27,112.34,45812403
918,2015-11-12,116.26,116.82,115.65,115.72,32525579
919,2015-11-11,116.37,117.42,115.21,116.11,45217971
920,2015-11-10,116.9,118.07,116.061,116.77,59127931
921,2015-11-09,120.96,121.81,120.05,120.57,33871405
922,2015-11-06,121.11,121.81,120.62,121.06,33042283
923,2015-11-05,121.85,122.69,120.18,120.92,39552680
924,2015-11-04,123.13,123.82,121.62,122.0,44886050
925,2015-11-03,120.79,123.49,120.7,122.57,45518976
926,2015-11-02,119.87,121.36,119.61,121.18,32203267
927,2015-10-30,120.99,121.22,119.45,119.5,49365254
928,2015-10-29,118.7,120.69,118.27,120.53,51227334
929,2015-10-28,116.93,119.3,116.06,119.27,85551352
930,2015-10-27,115.4,116.54,113.99,114.55,69884400
931,2015-10-26,118.08,118.13,114.92,115.28,66333781
932,2015-10-23,116.7,119.228,116.33,119.08,59366914
933,2015-10-22,114.33,115.5,114.1,115.5,41654089
934,2015-10-21,114.0,115.58,113.7,113.76,42326974
935,2015-10-20,111.34,114.17,110.82,113.77,48967763
936,2015-10-19,110.8,111.75,110.11,111.73,29759153
937,2015-10-16,111.78,112.0,110.53,111.04,39232609
938,2015-10-15,110.93,112.1,110.49,111.86,37673452
939,2015-10-14,111.29,111.52,109.56,110.21,44462449
940,2015-10-13,110.82,112.45,110.68,111.79,33049256
941,2015-10-12,112.73,112.75,111.44,111.6,30467204
942,2015-10-09,110.0,112.28,109.49,112.12,52766140
943,2015-10-08,110.19,110.19,108.21,109.5,61979577
944,2015-10-07,111.74,111.77,109.41,110.78,46765550
945,2015-10-06,110.63,111.74,109.765,111.31,48856977
946,2015-10-05,109.88,111.3698,109.07,110.78,52064743
947,2015-10-02,108.01,111.0136,107.55,110.38,58019758
948,2015-10-01,109.07,109.62,107.31,109.58,63929100
949,2015-09-30,110.17,111.54,108.73,110.3,65041596
950,2015-09-29,112.83,113.51,107.86,109.06,73365384
951,2015-09-28,113.85,114.57,112.44,112.44,50782189
952,2015-09-25,116.44,116.69,114.02,114.71,56151926
953,2015-09-24,113.25,115.5,112.37,115.0,50219475
954,2015-09-23,113.63,114.72,113.3,114.32,35756716
955,2015-09-22,113.38,114.18,112.5201,113.4,50346159
956,2015-09-21,113.67,115.37,113.66,115.21,50221965
957,2015-09-18,112.21,114.3,111.87,113.45,74285291
958,2015-09-17,115.66,116.49,113.715,113.92,64112641
